Time,Event
01:36.335,Lemme At'em prepares  Circle of Scorn  on Erichthonios *2806*
01:36.780,Lemme At'em attack Erichthonios 1232
01:37.181,"Lemme At'em Goring Blade Erichthonios Tick  1779 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
01:37.359,Lemme At'em Circle of Scorn Erichthonios *2806*
01:37.359,Lemme At'em prepares  Holy Spirit  on Erichthonios 9576
01:38.117,Lemme At'em Holy Spirit Erichthonios 9576
01:38.516,Lemme At'em prepares  attack  on Erichthonios 1232
01:39.050,Lemme At'em attack Erichthonios 1232
01:39.851,Lemme At'em prepares  Holy Spirit  on Erichthonios *14604*
01:40.207,"Lemme At'em Goring Blade Erichthonios Tick  1633 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
01:40.207,"Lemme At'em Circle of Scorn Erichthonios Tick  601 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
01:40.607,Lemme At'em Holy Spirit Erichthonios *14604*
01:40.785,Lemme At'em prepares  attack  on Erichthonios 1240
01:41.186,Lemme At'em prepares  Expiacion  on Erichthonios *9514*
01:41.319,Lemme At'em attack Erichthonios 1240
01:41.541,Lemme At'em Expiacion Erichthonios *9514*
01:42.342,Lemme At'em prepares  Confiteor  on Erichthonios *29679* (Direct Hit)
01:42.965,Lemme At'em Confiteor Erichthonios *29679* (Direct Hit)
01:43.054,Lemme At'em prepares  attack  on Erichthonios *1884*
01:43.188,"Lemme At'em Goring Blade Erichthonios Tick  1568 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
01:43.188,"Lemme At'em Circle of Scorn Erichthonios Tick  576 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
01:43.588,Lemme At'em attack Erichthonios *1884*
01:44.881,Lemme At'em prepares  Blade of Faith  on Erichthonios 7326
01:45.326,Lemme At'em prepares  attack  on Erichthonios *2374* (Direct Hit)
01:45.504,Lemme At'em Blade of Faith Erichthonios 7326
01:45.861,Lemme At'em attack Erichthonios *2374* (Direct Hit)
01:46.219,"Lemme At'em Goring Blade Erichthonios Tick  1898 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
01:46.219,"Lemme At'em Circle of Scorn Erichthonios Tick  698 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
01:47.375,Lemme At'em prepares  Blade of Truth  on Erichthonios 8752
01:47.598,Lemme At'em prepares  attack  on Erichthonios *1868*
01:48.132,Lemme At'em attack Erichthonios *1868*
01:48.266,Lemme At'em Blade of Truth Erichthonios 8752
01:49.202,"Lemme At'em Goring Blade Erichthonios Tick  1755 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
01:49.202,"Lemme At'em Circle of Scorn Erichthonios Tick  646 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
01:49.870,Lemme At'em prepares  Blade of Valor  on Erichthonios 10252
01:49.870,Lemme At'em prepares  attack  on Erichthonios 1202
01:50.403,Lemme At'em attack Erichthonios 1202
01:50.760,Lemme At'em Blade of Valor Erichthonios 10252
01:52.140,Lemme At'em prepares  attack  on Erichthonios 1227
01:52.183,"Lemme At'em Circle of Scorn Erichthonios Tick  704 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
01:52.183,"Lemme At'em Blade of Valor Erichthonios Tick  1885 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
01:52.362,Lemme At'em prepares  Fast Blade  on Erichthonios 3445
01:52.674,Lemme At'em attack Erichthonios 1227
01:52.985,Lemme At'em Fast Blade Erichthonios 3445
01:54.412,Lemme At'em prepares  attack  on Erichthonios 1189
01:54.767,Lemme At'em prepares  Riot Blade  on Erichthonios 5359 (+43%)
01:54.945,Lemme At'em attack Erichthonios 1189
01:55.212,"Lemme At'em Blade of Valor Erichthonios Tick  1602 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
01:55.523,Lemme At'em Riot Blade Erichthonios 5359 (+43%)
01:56.682,Lemme At'em prepares  attack  on Erichthonios *1805*
01:57.215,Lemme At'em attack Erichthonios *1805*
01:57.215,Lemme At'em prepares  Royal Authority  on Erichthonios 7500 (+69%)
01:57.793,Lemme At'em Royal Authority Erichthonios 7500 (+69%)
01:58.195,"Lemme At'em Blade of Valor Erichthonios Tick  1505 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
01:58.951,Lemme At'em prepares  attack  on Erichthonios 1165
01:59.483,Lemme At'em attack Erichthonios 1165
01:59.617,Lemme At'em prepares  Atonement  on Erichthonios 6958
02:00.950,Lemme At'em Atonement Erichthonios 6958
02:01.220,"Lemme At'em Blade of Valor Erichthonios Tick  1578 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
02:01.220,Lemme At'em prepares  attack  on Erichthonios *1917*
02:01.754,Lemme At'em attack Erichthonios *1917*
02:02.067,Lemme At'em prepares  Atonement  on Erichthonios 6924
02:03.359,Lemme At'em Atonement Erichthonios 6924
02:03.492,Lemme At'em prepares  attack  on Erichthonios *1897*
02:04.025,Lemme At'em attack Erichthonios *1897*
02:04.204,"Lemme At'em Blade of Valor Erichthonios Tick  1902 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
02:04.471,Lemme At'em prepares  Fast Blade  on Erichthonios 4471 (Direct Hit)
02:05.095,Lemme At'em Fast Blade Erichthonios 4471 (Direct Hit)
02:05.763,Lemme At'em prepares  attack  on Erichthonios 1443 (Direct Hit)
